Contest ID, Bug ID,,, Bug Description,link,,
106, L-03,,," ""A malicious owner can keep the fee rate at zero, but if a large value transfer enters the mempool, the owner can jack the rate up to the maximum""",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-03-a-malicious-owner-can-keep-the-fee-rate-at-zero-but-if-a-large-value-transfer-enters-the-mempool-the-owner-can-jack-the-rate-up-to-the-maximum,,
106, L-04,,, "A malicious owner can set an effectively infinite improvement rate with type(uint256).max after he/she has entered into a loan to prevent others from buying them out",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-04-a-malicious-owner-can-set-an-effectively-infinite-improvement-rate-with-typeuint256max-after-heshe-has-entered-into-a-loan-to-prevent-others-from-buying-them-out,,
106, L-05,,, "tokenURI() reverts for tokens that don't implement IERC20Metadata",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-05-tokenuri-reverts-for-tokens-that-dont-implement-ierc20metadata,,
106, L-06,,, "_safeMint() should be used rather than _mint() wherever possible",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-06-_safemint-should-be-used-rather-than-_mint-wherever-possible,,
106, L-07,,, "loanFacilitatorTransfer() does not verify that the receiver is capable of handling an NFT",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-07-loanfacilitatortransfer-does-not-verify-that-the-receiver-is-capable-of-handling-an-nft,,
106, L-08,,, " Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/106.md#l-08-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
107, L-01,,, "Add constructor initializers",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-01-add-constructor-initializers,,
107, L-02,,, "Immutable addresses should be 0-checked",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-02-immutable-addresses-should-be-0-checked,,
107, L-03,,, "Unbounded loop on array can lead to DoS",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-03-unbounded-loop-on-array-can-lead-to-dos,,
107, L-04,,, "Add a timelock and event to critical functions",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-04-add-a-timelock-and-event-to-critical-functions,,
107, L-05,,, "Fee in StrategyPUSDConvex.setPerformanceFee() should be upper-bounded",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-05-fee-in-strategypusdconvexsetperformancefee-should-be-upper-bounded,,
107, L-06,,, "Fee in NFTVault.setOrganizationFeeRate()should be upper-bounded",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-06-fee-in-nftvaultsetorganizationfeerateshould-be-upper-bounded,,
107, L-07,,, "A magical number should be documented and explained: 1e36. Use a constant instead",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/107.md#l-07-a-magical-number-should-be-documented-and-explained-1e36-use-a-constant-instead,,
109, L-01,,, "Cross-chain replay attacks",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/109.md#l-01-cross-chain-replay-attacks,,
109, L-02,,, "Incorrect EIP-2612 deadline check",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/109.md#l-02-incorrect-eip-2612-deadline-check,,
109, L-03,,, "Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/109.md#l-03-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
109, L-04,,, "Open TODOs",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/109.md#l-04-open-todos,,
109, L-05,,, "Missing contract-existence checks before low-level calls",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/109.md#l-05-missing-contract-existence-checks-before-low-level-calls,,
11, L-01,,, "Lack of zero-address checks for immutable addresses will force contract redeployment if zero-address used accidentally",https://github.com/code-423n4/2021-05-fairside-findings/issues/18,,
11, L-02,,, "Dangerous Solidity compiler pragma range that spans breaking versions",https://github.com/code-423n4/2021-05-fairside-findings/issues/25,,
11, L-03,,, "Usage of transfer",https://github.com/code-423n4/2021-05-fairside-findings/issues/47,,
11, L-04,,, "Missing use of DSMath functions may lead to underflows/overflows",https://github.com/code-423n4/2021-05-fairside-findings/issues/19,,
11, L-05,,, "convictionless mapping is not used",https://github.com/code-423n4/2021-05-fairside-findings/issues/61,,
11, L-06,,, "Flash minting and burning can reduce the paid fees when purchasing a membership or opening a cost share request",https://github.com/code-423n4/2021-05-fairside-findings/issues/76, "",
11, L-07,,, "Check if variables are initialized ",https://github.com/code-423n4/2021-05-fairside-findings/issues/59,,
110, L-01,,, "New min/max values should be checked against the current stored value",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-01-new-minmax-values-should-be-checked-against-the-current-stored-value, "",
110, L-02,,, "Loss of precision",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-02-loss-of-precision,,
110, L-03,,, "Unsafe calls to optional ERC20 functions",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-03-unsafe-calls-to-optional-erc20-functions,,
110, L-04,,, "Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-04-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
110, L-05,,, "initialize functions can be front-run",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-05-initialize-functions-can-be-front-run,,
110, L-06,,, "safeApprove() is deprecated",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-06-safeapprove-is-deprecated,,
110, L-07,,, "Upgradeable contract is missing a __gap[50] storage variable to allow for new storage variables in later versions",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-07-upgradeable-contract-is-missing-a-__gap50-storage-variable-to-allow-for-new-storage-variables-in-later-versions,,
110, L-08,,, "Unbounded loop",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/110.md#l-08-unbounded-loop,,
112, L-01,,, "The first withdrawal for each vault from the vault reserve has no delay",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-01-the-first-withdrawal-for-each-vault-from-the-vault-reserve-has-no-delay,,
112, L-02,,, "AaveHandler does not extend BaseHandler",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-02-aavehandler-does-not-extend-basehandler,,
112, L-03,,, "Unused receive() function will lock Ether in contract",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-03-unused-receive-function-will-lock-ether-in-contract,,
112, L-04,,, "Wrong usage of positionId in ConcentratedLiquidityPoolManager",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-04-front-runable-initializer,,
112, L-05,,, "safeApprove() is deprecated",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-05-safeapprove-is-deprecated,,
112, L-06,,, "Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-06-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
112, L-07,,, "abi.encodePacked() should not be used with dynamic types when passing the result to a hash function such as keccak256()",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-07-abiencodepacked-should-not-be-used-with-dynamic-types-when-passing-the-result-to-a-hash-function-such-as-keccak256,,
112, L-08,,, "address.call{value:x}() should be used instead of payable.transfer()",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-08-addresscallvaluex-should-be-used-instead-of-payabletransfer,,
112, L-09,,, "Upgradeable contract is missing a __gap[50] storage variable to allow for new storage variables in later versions",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-09-upgradeable-contract-is-missing-a-__gap50-storage-variable-to-allow-for-new-storage-variables-in-later-versions,,
112, L-10,,, "Math library unnecessarily overflows during some operations",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/112.md#l-10-math-library-unnecessarily-overflows-during-some-operations,,
113, L-01,,, "Should ensure loan collateral is not immediately seizable",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/113.md#l-01-should-ensure-loan-collateral-is-not-immediately-seizable, https://code4rena.com/reports/2021-09-defiprotocol#h-03-reentrancy-in-settleauction-malicious-publisher-can-bypass-index-timelock-mechanism-inject-malicious-index-and-rug-the-basket, ""
113, L-02,,, "Pairs do not implement ERC721TokenReceiver",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/113.md#l-02-pairs-do-not-implement-erc721tokenreceiver,,
113, L-03,,, "Incorrect comments",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/113.md#l-03-incorrect-comments,,
113, L-04,,, "Calls incorrectly allow non-zero msg.value",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/113.md#l-04-calls-incorrectly-allow-non-zero-msgvalue,,
113, L-05,,, "Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/113.md#l-05-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
113, L-06,,, "ecrecover not checked for zero result",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/113.md#l-06-ecrecover-not-checked-for-zero-result,,
115, L-01,,, "approve should be replaced with safeApprove or safeIncreaseAllowance() / safeDecreaseAllowance()",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/115.md#l-01-approve-should-be-replaced-with-safeapprove-or-safeincreaseallowance--safedecreaseallowance,,
115, L-02,,, "Add constructor initializers",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/115.md#l-02-add-constructor-initializers,,
115, L-03,,, "Missing address(0) checks",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/115.md#l-03-missing-address0-checks,,
115, L-04,,, "Add a timelock to critical functions",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/115.md#l-04-add-a-timelock-to-critical-functions,,
115, L-05,,, "Fee in DemandMinerV2.setFeeConfig() should be upper-bounded",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/115.md#l-05-fee-in-demandminerv2setfeeconfig-should-be-upper-bounded,,
12, L-01,,, "Missing checks on debt max/min limits could cause pour to revert",https://github.com/code-423n4/2021-05-yield-findings/issues/41,,
12, L-02,,, "Return values of batch operations are ignored",https://github.com/code-423n4/2021-05-yield-findings/issues/46,,
12, L-03,,, "Missing sender address check in receive() may lead to locked Ether ",https://github.com/code-423n4/2021-05-yield-findings/issues/48,,
12, L-04,,, "Missing reentrancy guard and contract existence check for modules",https://github.com/code-423n4/2021-05-yield-findings/issues/49,,
12, L-05,,, "Prevent the use of LOCK in setRoleAdmin to instead force the use of lockRole",https://github.com/code-423n4/2021-05-yield-findings/issues/50,,
12, L-06,,, "Incompatibility With Rebasing/Deflationary/Inflationary tokens",https://github.com/code-423n4/2021-05-yield-findings/issues/52,,
12, L-07,,,"""flashFeeFactor is uninitialized at declaration leading to zero-fee flash loans enabled by default""",https://github.com/code-423n4/2021-05-yield-findings/issues/53,,
12, L-08,,, "Multiple compiler versions allowing a wide range from 0.5.0 to >=0.8.0",https://github.com/code-423n4/2021-05-yield-findings/issues/54,,
12, L-09,,, "Anyone can create a fake pool to trick unauthorized front-ends",https://github.com/code-423n4/2021-05-yield-findings/issues/55, "",
12, L-10,,, "In method _update on Pool.sol - Divide before multiply",https://github.com/code-423n4/2021-05-yield-findings/issues/61,,
12, L-11,,, "Implicit unsafe math",https://github.com/code-423n4/2021-05-yield-findings/issues/24,,
12, L-12,,, "Unsafe call to .decimals",https://github.com/code-423n4/2021-05-yield-findings/issues/32,,
12, L-13,,, "_burnInternal always returns 0 for fy tokens returned",https://github.com/code-423n4/2021-05-yield-findings/issues/35,,
12, L-14,,, "ERC20 approve is vulnerable to the front-running",https://github.com/code-423n4/2021-05-yield-findings/issues/38,,
12, L-15,,, "external function transferToPool is pretty useless",https://github.com/code-423n4/2021-05-yield-findings/issues/57,,
12, L-16,,, "function redeem should return 'redeemed' amount",https://github.com/code-423n4/2021-05-yield-findings/issues/58,,
12, L-17,,, "Using stale cToken exchange rate",https://github.com/code-423n4/2021-05-yield-findings/issues/68,,
12, L-18,,, "Missing zero-address validations",https://github.com/code-423n4/2021-05-yield-findings/issues/42,,
122, L-01,,, "Wrong error message string in function createVault()",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-01-wrong-error-message-string-in-function-createvault,,
122, L-02,,, "Function vaults() can return misleading information",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-02--function-vaults-can-return-misleading-information, "",
122, L-03,,," ""initiateWithdraw() should not be callable , if option already exercised""",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-03-initiatewithdraw-should-not-be-callable--if-option-already-exercised,,
122, L-04,,, "Ambiguous error message in createVault() for durationDays",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-04-ambiguous-error-message-in-createvault-for-durationdays,,
122, L-05,,, "The available values in premiumOptions[] & strikeOptions[] are too restrictive",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-05-the-available-values-in-premiumoptions--strikeoptions-are-too-restrictive,,
122, L-06,,, "No event is raised when feeRate is changed",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-06-no-event-is-raised-when-feerate-is-changed,,
122, L-07,,, "No event is raised when vault beneficiary is changed",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/122.md#l-07-no-event-is-raised-when-vault-beneficiary-is-changed,,
123, L-01,,, "Wrong amounts sent if arrays don't match",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-01-wrong-amounts-sent-if-arrays-dont-match,,
123, L-02,,, "Incorrect/misleading NatSpec",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-02-incorrectmisleading-natspec,,
123, L-03,,, "https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-03-function-reverts-if-called-a-second-time",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-03-function-reverts-if-called-a-second-time,,
123, L-04,,, "pragma experimental ABIEncoderV2 is deprecated",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-04-pragma-experimental-abiencoderv2-is-deprecated, "",
123, L-05,,, "safeApprove() is deprecated",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-05-safeapprove-is-deprecated,,
123, L-06,,, "Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/123.md#l-06-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
124, L-01,,, "Zero-address checks are missing",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-01-zero-address-checks-are-missing, https://code4rena.com/reports/2022-02-tribe-turbo#h-02-turborouter-deposit-mint-createsafeanddeposit-and-createsafeanddepositandboost-functions-do-not-work, ""
124, L-02,,, "Use of floating pragma",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-02-use-of-floating-pragma,,
124, L-03,,, "Events not emitted for important state changes",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-03-events-not-emitted-for-important-state-changes,,
124, L-04,,, "Matured fCash positions not automatically redeemed in NotionalTradeModule.initialize",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-04-matured-fcash-positions-not-automatically-redeemed-in-notionaltrademoduleinitialize,,
124, L-05,,, "Misleading NotionalTradeModule._mintFCashPosition function comments",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-05-misleading-notionaltrademodule_mintfcashposition-function-comments,,
124, L-06,,, "Misleading comment in wfCashLogic._burn function",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-06-misleading-comment-in-wfcashlogic_burn-function,,
124, L-07,,, "Matured fCash can still be wrapped via ERC1155 transfer",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-07-matured-fcash-can-still-be-wrapped-via-erc1155-transfer,,
124, L-08,,, "Contracts are using outdated OpenZeppelin version ^3.4.2-solc-0.7",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-08-contracts-are-using-outdated-openzeppelin-version-342-solc-07,,
124, L-09,,, "wfCashERC4626 contract does not conform to EIP4626",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/124.md#l-09-wfcasherc4626-contract-does-not-conform-to-eip4626,,
125, L-01,,, "Mistaken null values cause distributeYield() to revert",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-01-mistaken-null-values-cause-distributeyield-to-revert,,
125, L-02,,, "Can't remove old assets",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-02-cant-remove-old-assets,,
125, L-03,,, "Missing checks for approve()'s return status",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-03-missing-checks-for-approves-return-status,,
125, L-04,,, "Move ETH constant to child contract",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-04-move-eth-constant-to-child-contract,,
125, L-05,,, "Unsafe casts and usage of IERC20Detailed",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-05-unsafe-casts-and-usage-of-ierc20detailed, "",
125, L-06,,, "Unused receive() function will lock Ether in contract",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-06-unused-receive-function-will-lock-ether-in-contract,,
125, L-07,,, "safeApprove() is deprecated",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-07-safeapprove-is-deprecated,,
125, L-08,,, "Missing checks for address(0x0) when assigning values to address state variables",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-08-missing-checks-for-address0x0-when-assigning-values-to-address-state-variables,,
125, L-09,,, "Open TODOs",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/125.md#l-09-open-todos,,
13, L-01,,, "Use of assert() instead of require() ",https://github.com/code-423n4/2021-06-realitycards-findings/issues/83,,
13, L-02,,, "Lack of zero address validation",https://github.com/code-423n4/2021-06-realitycards-findings/issues/56,,
13, L-03,,, "Multiple calls necessary for getWinnerFromOracle",https://github.com/code-423n4/2021-06-realitycards-findings/issues/122,,
13, L-04,,, "addToWhitelist doesn't check factoryAddress",https://github.com/code-423n4/2021-06-realitycards-findings/issues/24,,
13, L-05,,, "Deposit double-counting miscalculation could incorrectly prevent user foreclosure",https://github.com/code-423n4/2021-06-realitycards-findings/issues/108,,
13, L-06,,, "unnecessary emit of LogUserForeclosed",https://github.com/code-423n4/2021-06-realitycards-findings/issues/27,,
13, L-07,,, "Use of ecrecover is susceptible to signature malleability",https://github.com/code-423n4/2021-06-realitycards-findings/issues/66,,
13, L-08,,, "NFT minting limit dependence on block gas limit",https://github.com/code-423n4/2021-06-realitycards-findings/issues/70,,
13, L-09,,, "Basis points usage deviates from general definition ",https://github.com/code-423n4/2021-06-realitycards-findings/issues/72,,
13, L-10,,, "Missing input validation on timeout",https://github.com/code-423n4/2021-06-realitycards-findings/issues/74,,
13, L-11,,, "isGovernor excludes Factory owner",https://github.com/code-423n4/2021-06-realitycards-findings/issues/75,,
13, L-12,,, "Making isMarketApproved False on an operational market will lock NFTs to L2",https://github.com/code-423n4/2021-06-realitycards-findings/issues/76,,
13, L-13,,, "Susceptible to collusion and sybil attacks",https://github.com/code-423n4/2021-06-realitycards-findings/issues/79,,
13, L-14,,, "Misplaced zero-address check",https://github.com/code-423n4/2021-06-realitycards-findings/issues/82,,
13, L-15,,, "Missing market open check",https://github.com/code-423n4/2021-06-realitycards-findings/issues/86,,
13, L-16,,, "Assert indicates unnecessary check or missing constraint/logic",https://github.com/code-423n4/2021-06-realitycards-findings/issues/90,,
13, L-17,,,"""exitedTimestamp set prematurely""",https://github.com/code-423n4/2021-06-realitycards-findings/issues/91,,
13, L-18,,,"""Test function left behind can expose order book""",https://github.com/code-423n4/2021-06-realitycards-findings/issues/101,,
13, L-19,,,"""Shadowing Local Variables found in RCOrderbook.sol""",https://github.com/code-423n4/2021-06-realitycards-findings/issues/124,,
13, L-20,,,"""totalNftMintCount can be replaced with ERC721 totalSupply() """,https://github.com/code-423n4/2021-06-realitycards-findings/issues/134,,
13, L-21,,,"""RCTreasury.addToWhitelist() will erroneously remove user from whitelist if user is already whitelisted""",https://github.com/code-423n4/2021-06-realitycards-findings/issues/49,,
