Contest ID, Bug ID,,, Bug Description,link,
102, M-05,,,"""Updating rate limit for addresses restores their entire buffer amount""",Updating rate limit for addresses restores their entire buffer amount · Issue #27 · code-423n4/2022-03-volt-findings · GitHub,
102, M-06,,,"""NonCustodialPSM can become insolvent as CPI index rises""",NonCustodialPSM can become insolvent as CPI index rises · Issue #83 · code-423n4/2022-03-volt-findings · GitHub,
103, M-01,,, "AnyswapFacet can be exploited to approve arbitrary tokens. ",https://github.com/code-423n4/2022-03-lifinance-findings/issues/117,
103, M-02,,, "Anyone can get swaps for free given certain conditions in swap.",https://github.com/code-423n4/2022-03-lifinance-findings/issues/66,
103, M-03,,,"""LibSwap: Excess funds from swaps are not returned""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/33,
103, M-04,,,"""msg.value is Sent Multipletimes When Performing a Swap""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/86,
103, M-05,,,"""cBridge integration fails to send native tokens""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/35,
103, M-06,,,"""DexManagerFacet: batchRemoveDex() removes first dex only""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/34,
103, M-07,,,"""ERC20 bridging functions do not revert on non-zero msg.value""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/53,
103, M-08,,,"""Swap functions are Reenterable""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/109,
103, M-09,,,"""Should prevent users from sending more native tokens in the startBridgeTokensViaCBridge function""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/207,
103, M-10,,,"""[WP-H7] Infinite approval to an arbitrary address can be used to steal all the funds from the contract""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/160,
103, M-11,,,"""Failed transfer with low level call won't revert""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/101,
103, M-12,,,"""Reputation Risks with contractOwner""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/65,
103, M-13,,,"""WithdrawFacet's withdraw calls native payable.transfer, which can be unusable for DiamondStorage owner contract""",https://github.com/code-423n4/2022-03-lifinance-findings/issues/14,
104, M-01,,, "DoS: Attacker May Front-Run createSplit() With A merkleRoot Causing Future Transactions With The Same merkleRoot to Revert",https://github.com/code-423n4/2022-03-joyn-findings/issues/33,
104, M-02,,, "Fixed Amount of Gas Sent in Call May Be Insufficient",https://github.com/code-423n4/2022-03-joyn-findings/issues/8,
104, M-03,,, "RoyaltyVault.sol is Not Equipped to Handle On-Chain Royalties From Secondary Sales",https://github.com/code-423n4/2022-03-joyn-findings/issues/130,
104, M-04,,, "createProject can be frontrun",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/reports/104.md,
104, M-05,,, "Gas costs will likely result in any fees sent to the Splitter being economically unviable to recover.",https://github.com/code-423n4/2022-03-joyn-findings/issues/27,
104, M-06,,, "CoreCollection's token transfer can be disabled",https://github.com/code-423n4/2022-03-joyn-findings/issues/37,
104, M-07,,, "Ineffective Handling of FoT or Rebasing Tokens",https://github.com/code-423n4/2022-03-joyn-findings/issues/43,
104, M-08,,," ""CoreCollection: Starting index is pseudo-randomly generated, allowing for gameable NFT launches""",https://github.com/code-423n4/2022-03-joyn-findings/issues/50,
104, M-09,,, "Differing percentage denominators causes confusion and potentially brick claims",https://github.com/code-423n4/2022-03-joyn-findings/issues/53,
104, M-10,,, "Add a timelock to setPlatformFee()",https://github.com/code-423n4/2022-03-joyn-findings/issues/112,
104, M-11,,, "Not handling return value of transferFrom command can create inconsistency",https://github.com/code-423n4/2022-03-joyn-findings/issues/81,
104, M-12,,," ""CoreCollection.setRoyaltyVault doesn't check royaltyVault.royaltyAsset against payableToken, resulting in potential permanent lock of payableTokens in royaltyVault""",https://github.com/code-423n4/2022-03-joyn-findings/issues/73,
105, M-01,,, "HolyPaladinToken.sol uses ERC20 token with a highly unsafe pattern",https://github.com/code-423n4/2022-03-paladin-findings/issues/3,
105, M-02,,, "Incorrect number of seconds in ONE_YEAR variable",https://github.com/code-423n4/2022-03-paladin-findings/issues/4,
105, M-03,,, "Users at UNSTAKE_PERIOD can assist other users in unstaking tokens.",https://github.com/code-423n4/2022-03-paladin-findings/issues/7,
105, M-04,,, "cooldown is set to 0 when the user sends all tokens to himself.",https://github.com/code-423n4/2022-03-paladin-findings/issues/8,
105, M-05,,, "Past state query results are susceptible to manipulation due to multiple states with same block number",https://github.com/code-423n4/2022-03-paladin-findings/issues/20,
105, M-06,,, "PaladinRewardReserve.sol may have potential bugs if it uses new tokens as rewards",https://github.com/code-423n4/2022-03-paladin-findings/issues/26,
105, M-07,,, "updating the state ",https://github.com/code-423n4/2022-03-paladin-findings/issues/27,
105, M-08,,, "Add a timelock to PaladinRewardReserve functions",https://github.com/code-423n4/2022-03-paladin-findings/issues/31,
105, M-09,,, "Function cooldown() is not protected when protocol in emergency mode ",https://github.com/code-423n4/2022-03-paladin-findings/issues/54,
105, M-10,,, "UserLock information can be found during emergency mode",https://github.com/code-423n4/2022-03-paladin-findings/issues/59,
105, M-11,,, "Emergency mode enable/disable issue",https://github.com/code-423n4/2022-03-paladin-findings/issues/64,
105, M-12,,, "Users with large cooldowns can grief other users",https://github.com/code-423n4/2022-03-paladin-findings/issues/69,
105, M-13,,, "Users Can Bypass Emergency Restrictions on updateUserRewardState()",https://github.com/code-423n4/2022-03-paladin-findings/issues/94,
105, M-14,,, "Increasing the Lock Amount on an Expired Lock Will Cause Users to Miss Out on Rewards",https://github.com/code-423n4/2022-03-paladin-findings/issues/95,
106, M-01,,," ""When an attacker lends to a loan, the attacker can trigger DoS that any lenders can not buyout it""",https://github.com/code-423n4/2022-04-backed-findings/issues/89,
106, M-02,,, "Protocol doesn't handle fee on transfer tokens",https://github.com/code-423n4/2022-04-backed-findings/issues/75,
106, M-03,,," ""sendCollateralTo is unchecked in closeLoan(), which can cause user's collateral NFT to be frozen""",https://github.com/code-423n4/2022-04-backed-findings/issues/83,
106, M-04,,, "requiredImprovementRate can not work as expected when previousInterestRate less than 10 due to precision loss",https://github.com/code-423n4/2022-04-backed-findings/issues/80,
106, M-05,,, "Borrowers lose funds if they call repayAndCloseLoan instead of closeLoan",https://github.com/code-423n4/2022-04-backed-findings/issues/27,
106, M-06,,, "Might not get desired min loan amount if _originationFeeRate changes",https://github.com/code-423n4/2022-04-backed-findings/issues/28,
106, M-07,,," ""mintBorrowTicketTo can be a contract with no onERC721Received method, which may cause the BorrowTicket NFT to be frozen and put users' funds at risk""",https://github.com/code-423n4/2022-04-backed-findings/issues/81,
107, M-01,,, "Pool.sol & Synth.sol: Failing Max Value Allowance",https://github.com/code-423n4/2022-04-jpegd-findings/issues/1,
107, M-02,,, "NFTHelper Contract Allows Owner to Burn NFTs",https://github.com/code-423n4/2022-04-jpegd-findings/issues/47,
107, M-03,,, "reward will be locked in the farm if no LP join the pool at epoch.startBlock",https://github.com/code-423n4/2022-04-jpegd-findings/issues/14,
107, M-04,,, "setDebtInterestApr should accrue debt first",https://github.com/code-423n4/2022-04-jpegd-findings/issues/78,
107, M-05,,, "rewards will be locked if user transfer directly to pool without using deposit function",https://github.com/code-423n4/2022-04-jpegd-findings/issues/19,
107, M-06,,, "Oracle data feed is insufficiently validated.",https://github.com/code-423n4/2022-04-jpegd-findings/issues/54,
107, M-07,,, "Wrong calculation for yVault price per share if decimals != 18",https://github.com/code-423n4/2022-04-jpegd-findings/issues/117,
107, M-08,,, "[WP-H9] _swapUniswapV2 may use an improper path which can cause a loss of the majority of the rewardTokens",https://github.com/code-423n4/2022-04-jpegd-findings/issues/157,
107, M-09,,, "The noContract modifier does not work as expected.",https://github.com/code-423n4/2022-04-jpegd-findings/issues/117,
107, M-10,,, "Chainlink pricer is using a deprecated API ",https://github.com/code-423n4/2022-04-jpegd-findings/issues/47,
107, M-11,,, "Division before Multiplication May Result In No Interest Being Accrued",https://github.com/code-423n4/2022-04-jpegd-findings/issues/97,
109, M-01,,, "Low level call returns true if the address doesn't exist",https://github.com/code-423n4/2022-04-axelar-findings/issues/11,
109, M-02,,, "User's funds can get lost when transferring to other chain",https://github.com/code-423n4/2022-04-axelar-findings/issues/12,
109, M-03,,," ""_execute can potentially reorder a batch of commands while executing, breaking any assumptions on command orders.""",https://github.com/code-423n4/2022-04-axelar-findings/issues/17,
109, M-04,,, "Unsupported fee-on-transfer tokens",https://github.com/code-423n4/2022-04-axelar-findings/issues/5,
11, M-01,,, "Incorrect use of _addTribute instead of _addGovernanceTribute",https://github.com/code-423n4/2021-05-fairside-findings/issues/20, ""
11, M-02,,, "Call to swapExactTokensForETH in liquidateDai() will always fail",https://github.com/code-423n4/2021-05-fairside-findings/issues/21,
11, M-03,,, "Conviction totals not updated during tokenization",https://github.com/code-423n4/2021-05-fairside-findings/issues/28,
11, M-04,,, "Eth may get stuck in contract ",https://github.com/code-423n4/2021-05-fairside-findings/issues/58,
11, M-05,,, "Bug inside ABDKMathQuad library ",https://github.com/code-423n4/2021-05-fairside-findings/issues/32,
11, M-06,,, "pendingWithdrawals just increments",https://github.com/code-423n4/2021-05-fairside-findings/issues/38,
11, M-07,,, "NFTs can never be redeemed back to their conviction scores leading to lock/loss of funds",https://github.com/code-423n4/2021-05-fairside-findings/issues/31,
11, M-08,,, "ERC20ConvictionScore allows transfers to special TOTAL_GOVERNANCE_SCORE address ",https://github.com/code-423n4/2021-05-fairside-findings/issues/42,
11, M-09,,, "Should check return data from Chainlink aggregators",https://github.com/code-423n4/2021-05-fairside-findings/issues/70,
11, M-10,,, "gracePeriod not increased after membership extension",https://github.com/code-423n4/2021-05-fairside-findings/issues/6,
11, M-11,,, "The variable fShareRatio is vulnerable to manipulation by flash minting and burning",https://github.com/code-423n4/2021-05-fairside-findings/issues/75,
11, M-12,,, "ERC20ConvictionScore.acquireConviction implements wrong governance checks",https://github.com/code-423n4/2021-05-fairside-findings/issues/45,
110, M-01,,, "Guaranteed citadel profit",https://github.com/code-423n4/2022-04-badger-citadel-findings/issues/71,
110, M-02,,, "Funding.deposit() doesn't work if there is no discount set",https://github.com/code-423n4/2022-04-badger-citadel-findings/issues/149,
110, M-03,,, "KnightingRound tokenOutPrice changes",https://github.com/code-423n4/2022-04-badger-citadel-findings/issues/73,
110, M-04,,, "New vest reset unlockBegin of existing vest without removing vested amount ",https://github.com/code-423n4/2022-04-badger-citadel-findings/issues/158,
110, M-05,,, "Stale price used when citadelPriceFlag is cleared",https://github.com/code-423n4/2022-04-badger-citadel-findings/issues/176,
112, M-01,,, "call() should be used instead of transfer() on an address payable",https://github.com/code-423n4/2022-04-backd-findings/issues/52,
112, M-02,,, "Its possible to lose total governance control by mistake ",https://github.com/code-423n4/2022-04-backd-findings/issues/83,
112, M-03,,," ""Lack of safeApprove(0) prevents some registrations, and the changing of stakers and LP tokens""",https://github.com/code-423n4/2022-04-backd-findings/issues/180,
112, M-04,,, "CvxCrvRewardsLocker implements a swap without a slippage check that can result in a loss of funds through MEV",https://github.com/code-423n4/2022-04-backd-findings/issues/161,
112, M-05,,, "Chainlink's latestRoundData might return stale or incorrect results",https://github.com/code-423n4/2022-04-backd-findings/issues/17,
112, M-06,,, "ERC777 tokens can bypass depositCap guard",https://github.com/code-423n4/2022-04-backd-findings/issues/47,
112, M-07,,, "Inconsistency between constructor and setting method for slippageTolerance",https://github.com/code-423n4/2022-04-backd-findings/issues/97,
112, M-08,,, "_decimalMultiplier doesn't account for tokens with decimals higher than 18",https://github.com/code-423n4/2022-04-backd-findings/issues/49,
112, M-09,,, "getNewCurrentFees reverts when minFeePercentage > feeRatio",https://github.com/code-423n4/2022-04-backd-findings/issues/50,
112, M-10,,, "Griefer can extend period of higher withdrawal fees",https://github.com/code-423n4/2022-04-backd-findings/issues/56,
112, M-11,,, "Position owner should set allowed slippage",https://github.com/code-423n4/2022-04-backd-findings/issues/87,
112, M-12,,, "[WP-M8] CompoundHandler#topUp() Using the wrong function selector makes native token topUp() always revert",https://github.com/code-423n4/2022-04-backd-findings/issues/120,
112, M-13,,, "[WP-M9] CEthInterface#repayBorrowBehalf() reading non-existing returns makes _repayAnyDebt() with CEther always revert",https://github.com/code-423n4/2022-04-backd-findings/issues/121,
112, M-14,,, "[WP-M11] CEthInterface#mint() reading non-existing returns makes topUp() with native token alway revert",https://github.com/code-423n4/2022-04-backd-findings/issues/125,
112, M-15,,, "Malicious Stakers can grief Keepers",https://github.com/code-423n4/2022-04-backd-findings/issues/194,
113, M-01,,, "Reentrancy at _requestLoan allows requesting a loan without supplying collateral",https://github.com/code-423n4/2022-04-abranft-findings/issues/61,
114, M-01,,, "User fund loss in supplyTokenTo() because of rounding",https://github.com/code-423n4/2022-04-pooltogether-findings/issues/37,
114, M-02,,, "_depositAmount requires to be updated to contract balance increase",https://github.com/code-423n4/2022-04-pooltogether-findings/issues/8,
114, M-03,,, "Owner or Managers can rug Aave rewards",https://github.com/code-423n4/2022-04-pooltogether-findings/issues/89,
114, M-04,,, "RewardsController Emission Manager Can Authorize Users to Claim on Behalf of the AaveV3YieldSource Contract and Siphon Yield",https://github.com/code-423n4/2022-04-pooltogether-findings/issues/70,
114, M-05,,, "Yield source does not correctly calculate share conversions",https://github.com/code-423n4/2022-04-pooltogether-findings/issues/86,
115, M-01,,, "Decimal token underflow could produce loose of funds",https://github.com/code-423n4/2022-04-mimo-findings/issues/55,
115, M-02,,, "Users can use updateBoost function to claim unfairly large rewards from liquidity mining contracts for themselves at cost of other users.",https://github.com/code-423n4/2022-04-mimo-findings/issues/136,
115, M-03,,, "SuperVault's leverageSwap and emptyVaultOperation can become stuck",https://github.com/code-423n4/2022-04-mimo-findings/issues/145,
115, M-04,,, "Non-standard ERC20 Tokens are Not Supported",https://github.com/code-423n4/2022-04-mimo-findings/issues/127,
115, M-05,,, "ABDKMath64 performs multiplication on results of division",https://github.com/code-423n4/2022-04-mimo-findings/issues/151,
12, M-01,,, "Potential griefing with DoS by front-running vault creation with same vaultID",https://github.com/code-423n4/2021-05-yield-findings/issues/43,
12, M-02,,, "Uniswap Oracle uses wrong prices",https://github.com/code-423n4/2021-05-yield-findings/issues/26,
12, M-03,,, "Witch can't give back vault after 2x grab",https://github.com/code-423n4/2021-05-yield-findings/issues/8,
12, M-04,,, "User can redeem more tokens by artificially increasing the chi accrual",https://github.com/code-423n4/2021-05-yield-findings/issues/69,
12, M-05,,, "Uninitialized or Incorrectly set auctionInterval may lead to liquidation engine livelock",https://github.com/code-423n4/2021-05-yield-findings/issues/44,
12, M-06,,, "Violation of implicit constraints in batched operations may break protocol assumptions",https://github.com/code-423n4/2021-05-yield-findings/issues/45,
12, M-07,,, "Possible DoS attack when creating Joins in Wand",https://github.com/code-423n4/2021-05-yield-findings/issues/70,
12, M-08,,, "Users can avoid paying borrowing interest after the fyToken matures ",https://github.com/code-423n4/2021-05-yield-findings/issues/71,
12, M-09,,, "auth only works well with external functions",https://github.com/code-423n4/2021-05-yield-findings/issues/4,
122, M-01,,, "Owner can modify the feeRate on existing vaults and steal the strike value on exercise",https://github.com/code-423n4/2022-05-cally-findings/issues/47, ""
122, M-02,,, "It shouldn’t be possible to create a vault with Cally’ own token",https://github.com/code-423n4/2022-05-cally-findings/issues/224,
122, M-03,,, "User's may accidentally overpay in buyOption() and the excess will be paid to the vault creator",https://github.com/code-423n4/2022-05-cally-findings/issues/84,
122, M-04,,, "Vaults steal rebasing tokens' rewards",https://github.com/code-423n4/2022-05-cally-findings/issues/50,
122, M-05,,, "Expiration calculation overflows if call option duration ≥ 195 days",https://github.com/code-423n4/2022-05-cally-findings/issues/16,
122, M-06,,, "Owner can set the feeRate to be greater than 100% and cause all future calls to exercise to revert",https://github.com/code-423n4/2022-05-cally-findings/issues/48,
122, M-07,,, "Lack of 0 amount check allows malicious user to create infinite vaults",https://github.com/code-423n4/2022-05-cally-findings/issues/91,
122, M-08,,, "Vault is Not Compatible with Fee Tokens and Vaults with Such Tokens Could Be Exploited",https://github.com/code-423n4/2022-05-cally-findings/issues/61,
122, M-09,,, "Use safeTransferFrom instead of transferFrom for ERC721 transfers ",https://github.com/code-423n4/2022-05-cally-findings/issues/38,
122, M-10,,, "createVault() does not confirm whether tokenType and token’s type are the same",https://github.com/code-423n4/2022-05-cally-findings/issues/243,
123, M-01,,, "BaseRewardPool4626 is not IERC4626 compliant",https://github.com/code-423n4/2022-05-aura-findings/issues/26,
123, M-02,,, "CrvDepositorWrapper.sol relies on oracle that isn't frequently updated",https://github.com/code-423n4/2022-05-aura-findings/issues/115,
123, M-03,,, "Improperly Skewed Governance Mechanism",https://github.com/code-423n4/2022-05-aura-findings/issues/232,
123, M-04,,," ""AuraLocker kick reward only takes last locked amount into consideration, instead of whole balance""",https://github.com/code-423n4/2022-05-aura-findings/issues/156,
123, M-05,,, "Users can grief reward distribution",https://github.com/code-423n4/2022-05-aura-findings/issues/180,
123, M-06,,,"""Rewards distribution can be delayed/never distributed on AuraLocker.sol#L848""",https://github.com/code-423n4/2022-05-aura-findings/issues/1,
123, M-07,,, "Reward may be locked forever if user doesn't claim reward for a very long time such that too many epochs have been passed",https://github.com/code-423n4/2022-05-aura-findings/issues/240,
123, M-08,,, "Locking up AURA Token does not increase voting power of individual",https://github.com/code-423n4/2022-05-aura-findings/issues/186,
123, M-09,,, "Reward can be vested even after endTime",https://github.com/code-423n4/2022-05-aura-findings/issues/126,
123, M-10,,, "Increase voting power by tokenizing the address that locks the token",https://github.com/code-423n4/2022-05-aura-findings/issues/278,
123, M-11,,, "Users may lose rewards to other users if rewards are given as fee-on-transfer tokens",https://github.com/code-423n4/2022-05-aura-findings/issues/176,
123, M-12,,, "User will lose funds",https://github.com/code-423n4/2022-05-aura-findings/issues/108,
123, M-13,,," ""ConvexMasterChef: When _lpToken is cvx, reward calculation is incorrect""",https://github.com/code-423n4/2022-05-aura-findings/issues/151,
123, M-14,,, "Integer overflow will lock all rewards in AuraLocker",https://github.com/code-423n4/2022-05-aura-findings/issues/261,
123, M-15,,, "ConvexMasterChef: safeRewardTransfer can cause loss of funds",https://github.com/code-423n4/2022-05-aura-findings/issues/272,
123, M-16,,, "DDOS in BalLiquidityProvider",https://github.com/code-423n4/2022-05-aura-findings/issues/285,
123, M-17,,, "ConvexMasterChef's deposit and withdraw can be reentered drawing all reward funds from the contract if reward token allows for transfer flow control",https://github.com/code-423n4/2022-05-aura-findings/issues/313,
123, M-18,,, "AuraBalRewardPool charges a penalty to all users in the pool if the AuraLocker has been shut down",https://github.com/code-423n4/2022-05-aura-findings/issues/179,
123, M-19,,, "CrvDepositor.sol Wrong implementation of the 2-week buffer for lock",https://github.com/code-423n4/2022-05-aura-findings/issues/343,
123, M-20,,, "massUpdatePools() is susceptible to DoS with block gas limit ",https://github.com/code-423n4/2022-05-aura-findings/issues/197,
123, M-21,,," ""ConvexMasterChef: When using add() and set(), it should always call massUpdatePools() to update all pools""",https://github.com/code-423n4/2022-05-aura-findings/issues/147,
123, M-22,,, "Duplicate LP token could lead to incorrect reward distribution",https://github.com/code-423n4/2022-05-aura-findings/issues/124,
124, M-01,,, "fCash of the wrong maturity and asset can be sent to wrapper address before wrapper is deployed",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/115,
124, M-02,,, "deposit() and mint() and _redeemInternal() in wfCashERC4626() will revert for all fcash that asset token is underlying token because they always call _mintInternal() with useUnderlying==True",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/82,
124, M-03,,, "The logic of _isUnderlying() in NotionalTradeModule is wrong which will cause mintFCashPosition() and redeemFCashPosition() revert on fcash tokens which asset token is underlying token (asset.tokenType == TokenType.NonMintable)",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/87, ""
124, M-04,,, "IsWrappedFcash check is a gas bomb",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/188,
124, M-05,,, "transferfCash does not work as expected",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/98,
124, M-06,,, "Users Might Not Be Able To Purchase Or Redeem SetToken",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/154,
124, M-07,,, "Residual Allowance Might Allow Tokens In SetToken To Be Stolen",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/160,
124, M-08,,, "DOS set token through erc777 hook",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/168,
124, M-09,,, "Upgraded Q -> M from 104 [1656258768065]",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/239,
124, M-10,,, "User can alter amount returned by redeem function due to control transfer",https://github.com/code-423n4/2022-06-notional-coop-findings/issues/235,
125, M-01,,, "Possible lost msg.value",https://github.com/code-423n4/2022-05-sturdy-findings/issues/62,
125, M-02,,, "UNISWAP_FEE is hardcoded which will lead to significant losses compared to optimal routing",https://github.com/code-423n4/2022-05-sturdy-findings/issues/48,
125, M-03,,, "processYield() and distributeYield() may run out of gas and revert due to long list of extra rewards/yields",https://github.com/code-423n4/2022-05-sturdy-findings/issues/70,
125, M-04,,, "ConvexCurveLPVault's _transferYield can become stuck with zero reward transfer",https://github.com/code-423n4/2022-05-sturdy-findings/issues/79,
125, M-05,,, "Withdrawing ETH collateral with max uint256 amount value reverts transaction",https://github.com/code-423n4/2022-05-sturdy-findings/issues/85, ""
125, M-06,,, "Title: Yield can be unfairly divided because of MEV/Just-in-time stablecoin deposits",https://github.com/code-423n4/2022-05-sturdy-findings/issues/61,
13, M-01,,, "payout doesn't fix isForeclosed state",https://github.com/code-423n4/2021-06-realitycards-findings/issues/28,
13, M-02,,, "Critical uberOwner address changes should be a two-step process",https://github.com/code-423n4/2021-06-realitycards-findings/issues/105,
13, M-03,,, "Missing balancedBooks modifier could result in failed system insolvency detection",https://github.com/code-423n4/2021-06-realitycards-findings/issues/112,
13, M-04,,, "minRentalDayDivisor can be different between markets and treasury",https://github.com/code-423n4/2021-06-realitycards-findings/issues/31, ""
13, M-05,,," ""RCFactory.createMarket() does not enforce _timestamps[1] and _timestamps[2] being larger than _timestamps[0], even though proper functioning requires them to be so""",https://github.com/code-423n4/2021-06-realitycards-findings/issues/61,
13, M-06,,, "Possible locked-ether (funds) Issue in RCOrderbook.sol",https://github.com/code-423n4/2021-06-realitycards-findings/issues/43,
13, M-07,,, "maxSumOfPrices check is broken",https://github.com/code-423n4/2021-06-realitycards-findings/issues/87,
13, M-08,,, "Flows can bypass market and global pause",https://github.com/code-423n4/2021-06-realitycards-findings/issues/89,
13, M-09,,, "Deposit whitelist enforced on msg.sender instead of user",https://github.com/code-423n4/2021-06-realitycards-findings/issues/107,
13, M-10,,, "Missing call to removeOldBids may affect foreclosure",https://github.com/code-423n4/2021-06-realitycards-findings/issues/109,
13, M-11,,, "NFT Hub implementation deviates from ERC721 for transfer functions",https://github.com/code-423n4/2021-06-realitycards-findings/issues/118,
13, M-12,,, "RCNftHubL2.safeTransferFrom not accoring to spec",https://github.com/code-423n4/2021-06-realitycards-findings/issues/160, ""
13, M-13,,, "Wrong calculation on _collectRentAction ",https://github.com/code-423n4/2021-06-realitycards-findings/issues/122, ""
13, M-14,,, "Market-specific pause is not checked for sponsor",https://github.com/code-423n4/2021-06-realitycards-findings/issues/145, ""
13, M-15,,, "Deposits don't work with fee-on transfer tokens ",https://github.com/code-423n4/2021-06-realitycards-findings/issues/152,
13, M-16,,, "Deposits can be denied by abusing maxContractBalance",https://github.com/code-423n4/2021-06-realitycards-findings/issues/153,
13, M-17,,, "Function foreclosureTimeUser returns a shorter user's foreclosure time than expected",https://github.com/code-423n4/2021-06-realitycards-findings/issues/171,
131, M-01,,,"""DoS on KeeperGauge due to division by zero""",https://github.com/code-423n4/2022-05-backd-findings/issues/35,
131, M-02,,,"""THE FIRST AMM STAKER WILL HAVE CONTROL OVER HOW THE SHARES ARE CALCULATED""",https://github.com/code-423n4/2022-05-backd-findings/issues/100,
131, M-03,,,"""THE FIRST AMM STAKER MAY NOT RECEIVE ACCORDING REWARDS BECAUSE OF POOR CHECKPOINTS""",https://github.com/code-423n4/2022-05-backd-findings/issues/111,
131, M-04,,,"""Amount distributed can be inaccurate when updating weights""",https://github.com/code-423n4/2022-05-backd-findings/issues/47,
131, M-05,,,"""BkdLocker#depositFees() can be front run to steal the newly added rewardToken""",https://github.com/code-423n4/2022-05-backd-findings/issues/95,
131, M-06,,,"""Minter.sol#_executeInflationRateUpdate() inflationManager().checkpointAllGauges() is called after InflationRate is updated, causing users to lose rewards""",https://github.com/code-423n4/2022-05-backd-findings/issues/98,
131, M-07,,,"""FeeBurner initiates swap without any slippage checks if Chainlink oracle fails """,https://github.com/code-423n4/2022-05-backd-findings/issues/44,
131, M-08,,,"""Users can claim extremely large rewards or lock rewards from LpGauge due to uninitialised poolLastUpdate variable""",https://github.com/code-423n4/2022-05-backd-findings/issues/141,
131, M-09,,,"""BkdLocker depositFees can be blocked""",https://github.com/code-423n4/2022-05-backd-findings/issues/8,
131, M-10,,,"""There are multiple ways for admins/governance to rug users""",https://github.com/code-423n4/2022-05-backd-findings/issues/113,
131, M-11,,,"""Usage of deprecated transfer to send ETH""",https://github.com/code-423n4/2022-05-backd-findings/issues/180,
131, M-12,,,"""Users can claim more fees than expected if governance migrates current rewardToken again by fault. """,https://github.com/code-423n4/2022-05-backd-findings/issues/86,
131, M-13,,,"""Inconsistency in view functions can lead to users believing they’re due for more BKD rewards""",https://github.com/code-423n4/2022-05-backd-findings/issues/150,
131, M-14,,,"""StakerVault.unstake(), StakerVault.unstakeFor() would revert with a uint underflow error of StakerVault.strategiesTotalStaked, StakerVault._poolTotalStaked.""",https://github.com/code-423n4/2022-05-backd-findings/issues/87,
131, M-15,,,"""Potential DoS when removing keeper gauge""",https://github.com/code-423n4/2022-05-backd-findings/issues/71,
